Wavelength,Bel-fruit00000.asd,Bel-fruit00001.asd,Bel-fruit00002.asd,Bel-fruit00003.asd,Bel-fruit00004.asd,Bel-fruit00005.asd,Bel-fruit00006.asd,Bel-fruit00007.asd,Bel-fruit00008.asd,Bel-fruit00009.asd
531,0.376503847,0.376938977,0.376799755,0.376794134,0.376337534,0.376274131,0.376821747,0.376678427,0.376714128,0.376699596
532,0.378335766,0.37859006,0.378219171,0.378264676,0.378173866,0.37814709,0.378139135,0.378326183,0.378188683,0.378082635
533,0.379685085,0.379636681,0.379733778,0.379808654,0.379424932,0.379645517,0.379397771,0.379854305,0.379562838,0.379395346
534,0.381010664,0.381250567,0.380817655,0.381230885,0.380961483,0.380671098,0.380983628,0.381161345,0.381186701,0.380854159
535,0.382368563,0.382588224,0.382000669,0.382402565,0.382133527,0.381913356,0.382342843,0.382349479,0.38277694,0.382052674
536,0.383689595,0.383717495,0.383355034,0.383637999,0.38328099,0.383332483,0.383516284,0.383520705,0.384071344,0.383247034
537,0.384834177,0.38497485,0.384712676,0.385253095,0.384916574,0.384585875,0.384752658,0.384737013,0.384915511,0.384816687
538,0.385656836,0.385874783,0.385660614,0.386184981,0.385803301,0.385664303,0.385884067,0.385771531,0.385842925,0.3859803
539,0.386817863,0.3867174,0.386733305,0.386830795,0.386635198,0.38666611,0.38701862,0.386885478,0.386801475,0.386853282
540,0.388255285,0.387667655,0.387935328,0.387583744,0.387692724,0.387580092,0.388069766,0.388067074,0.387756725,0.387640859
541,0.388798561,0.388616197,0.388385022,0.388656116,0.388428727,0.38820401,0.388629852,0.388860497,0.388800527,0.388554824
542,0.389342036,0.389364719,0.389275074,0.389530401,0.389364839,0.389099382,0.389298661,0.389614161,0.389340215,0.38939426
543,0.390072127,0.390112391,0.390235163,0.390349989,0.390214054,0.390027758,0.390167421,0.390399009,0.38988748,0.39015574
544,0.390897072,0.391045283,0.390706907,0.391286928,0.390666975,0.39064324,0.391051878,0.391161974,0.390983406,0.390880527
545,0.391424028,0.391723183,0.391484446,0.391684001,0.391400695,0.391270303,0.391229936,0.391655825,0.391798017,0.391548827
546,0.392056543,0.392350657,0.392071945,0.392143392,0.392017287,0.391799399,0.39185507,0.392207789,0.392256665,0.392125846
547,0.392798237,0.392881043,0.392422412,0.392760643,0.392431379,0.392181511,0.392828307,0.392735274,0.392530385,0.392554516
548,0.393248621,0.393024802,0.392949767,0.393110845,0.392890921,0.392448968,0.392840232,0.392774423,0.392980128,0.392772649
549,0.393416382,0.393362341,0.393220497,0.393402059,0.393197688,0.392910362,0.393284233,0.393239028,0.393209959,0.393303354
550,0.393474939,0.393680289,0.393370936,0.393652041,0.393449614,0.393263888,0.393716303,0.393744759,0.393458347,0.393734074
551,0.393576801,0.393694814,0.39354291,0.393829448,0.393661829,0.393296814,0.393651928,0.393844498,0.393841798,0.393694527
552,0.393708502,0.393412939,0.393519922,0.393893375,0.39337836,0.393523671,0.393720103,0.393791616,0.393695164,0.393566631
553,0.393585198,0.393294343,0.393383732,0.393665839,0.39314406,0.393405327,0.393540157,0.393598616,0.393444642,0.393378527
554,0.393187846,0.393205682,0.393081826,0.393234575,0.392923071,0.392897146,0.393027099,0.393202051,0.393130205,0.393091812
555,0.392683036,0.392673555,0.392507862,0.39283214,0.392347346,0.392290966,0.392324282,0.392529411,0.392568528,0.392632505
556,0.392152231,0.392081223,0.391915283,0.392113698,0.391840847,0.391705664,0.391800821,0.391986894,0.391988773,0.392076681
557,0.391623976,0.391670566,0.391518777,0.391644031,0.391454866,0.391342696,0.391493836,0.391618422,0.391579881,0.391650018
